task_id,best_model,best_mse,best_r2
363612.0,tabpfn,0.006415364565327712,0.9128202414512634
363615.0,pfn,0.0782935398817062,0.4895938301086426
363625.0,gbrt,0.0015971123869317396,0.707640550185167
363631.0,tabpfn,0.005886307386681389,0.9692195916175842
363672.0,tabpfn,0.13169980496168132,0.2795573711395264
363675.0,pfn,0.03312427703291173,0.7523805928230286
363678.0,tabpfn,0.02775442183017726,0.8150555658340454
363686.0,tabpfn,0.007561863008886528,0.8874759960174561
363693.0,tabpfn,0.17851056456565853,0.4801776313781738
363697.0,catboost,0.11947775910608323,0.2798106463514378
363698.0,rf,0.0,1.0
363705.0,tabpfn,0.036118077337741805,0.8556433081626892
363708.0,extratrees,0.06964751534419354,0.36710671880082996
,lr,,
