process_id,timestamp,checkpoint_path,task_id,repeat_idx,dataset_shape,num_features,n_train,n_test,mse_lr,r2_lr,mse_rf,r2_rf,mse_ridge,r2_ridge,mse_lasso,r2_lasso,mse_enet,r2_enet,mse_huber,r2_huber,mse_bayesridge,r2_bayesridge,mse_svr,r2_svr,mse_knn,r2_knn,mse_dtr,r2_dtr,mse_extratrees,r2_extratrees,mse_gbrt,r2_gbrt,mse_adaboost,r2_adaboost,mse_mlp,r2_mlp,mse_pfn,r2_pfn,model,metric,mean,median,std,iqr,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,avg_rank_mse,avg_rank_r2
2210,2025-11-18T16:22:00.153470,final_model_with_bardist.pt,361072,0.0,"(8192, 22)",50,10000,10000,5.2484039770206437e-05,0.0,0.0,1.0,5.473582132253796e-05,0.0,0.32540449500083923,0.0,0.32540449500083923,0.0,1.0034709850306682e-06,0.0,5.2730454626725987e-05,0.0,0.009928739957869361,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.1871802799351455e-06,0.0,0.011547088645872368,0.0,1.526932646811474e-05,0.0,1.2285740922379773e-06,0.0,,,,,,,,,,,,
2210,2025-11-18T16:23:00.815570,final_model_with_bardist.pt,361073,0.0,"(15000, 27)",50,10000,10000,1.7917914390563965,-3.5837740898132324,0.4457806213135116,-0.14039923639937357,25.97540283203125,-65.45046997070312,0.4281477630138397,-0.09529078006744385,0.4281477630138397,-0.09529078006744385,0.5246858464031636,-0.34225515865777023,28.318561553955078,-71.44475555419922,4.896695102783457,-11.526761122187771,0.5154222846031189,-0.31855714321136475,0.5089199999308587,-0.30192285523634843,0.33967275960736903,0.13104666923265673,0.08930778499904572,0.7715321731183916,0.5226113193941112,-0.3369480885342586,0.03802381455898285,0.9027271866798401,0.2529194951057434,0.35297948122024536,,,,,,,,,,,,
2210,2025-11-18T16:24:02.564094,final_model_with_bardist.pt,361073,1.0,"(15000, 27)",50,10000,10000,1.6181384325027466,-3.119189739227295,0.4251073698078282,-0.08216819082668625,26.81874656677246,-67.27073669433594,0.43323031067848206,-0.10284626483917236,0.43323031067848206,-0.10284626483917236,0.701321051973508,-0.7853074020944997,28.940519332885742,-72.6719970703125,4.947671670085184,-11.594966072785166,0.5125123262405396,-0.30466926097869873,0.5097280000729562,-0.2975814272568704,0.34158175229753734,0.1304575428312693,0.06467692299578212,0.8353561624249838,0.5252404202549632,-0.3370703866962106,0.00971781276166439,0.9752619862556458,0.041046541184186935,0.8955104947090149,,,,,,,,,,,,
2210,2025-11-18T16:25:02.583884,final_model_with_bardist.pt,361073,2.0,"(15000, 27)",50,10000,10000,38.5807991027832,-96.40335083007812,0.4580150948471763,-0.1563319113749262,29.724267959594727,-74.04363250732422,0.44223207235336304,-0.11648499965667725,0.44223207235336304,-0.11648499965667725,0.9378827967903489,-1.3678342029755743,30.475540161132812,-75.94033813476562,4.718356463856807,-10.91224090599078,0.5152324438095093,-0.30078601837158203,0.5122280000538827,-0.29320100805781046,0.3453992799304832,0.1279846143874287,0.0782868069965989,0.8023525115476328,0.4771265856419249,-0.2045819077801534,0.020336400717496872,0.9486575126647949,0.20784643292427063,0.4752587080001831,,,,,,,,,,,,
2210,2025-11-18T16:26:02.662432,final_model_with_bardist.pt,361073,3.0,"(15000, 27)",50,10000,10000,0.7884544730186462,-1.0234932899475098,0.4929339531596248,-0.26506811795704754,26.11677360534668,-66.02621459960938,0.43805015087127686,-0.12421393394470215,0.43805015087127686,-0.12421393394470215,0.6742655587466797,-0.7304384409704039,28.475631713867188,-72.07999420166016,4.701778513248752,-11.06666746463769,0.5146957039833069,-0.3209174871444702,0.5114520000414849,-0.31259292440812403,0.36897158504728106,0.05306951228770618,0.06257838137647131,0.8393985347422499,0.5681963424129024,-0.45822188331506597,0.08308865875005722,0.7867608666419983,0.2346070259809494,0.3979033827781677,,,,,,,,,,,,
2210,2025-11-18T16:27:05.140738,final_model_with_bardist.pt,361073,4.0,"(15000, 27)",50,10000,10000,0.26682618260383606,0.3171690106391907,0.4094026693673063,-0.04769646092501678,27.171125411987305,-68.53323364257812,0.4292275905609131,-0.09843003749847412,0.4292275905609131,-0.09843003749847412,0.5213163236410233,-0.3340930779596847,29.330774307250977,-74.0599594116211,4.51897928852974,-10.564454660011908,0.5142607688903809,-0.31603729724884033,0.5118680000872613,-0.3099140095519266,0.4067750773521931,-0.04097222813180301,0.0235552559482141,0.9397200845532698,0.5684797841804622,-0.4547884089610923,0.039973318576812744,0.8977048397064209,0.3064383268356323,0.21579813957214355,,,,,,,,,,,,
2210,2025-11-18T16:28:02.570156,final_model_with_bardist.pt,361074,0.0,"(16599, 17)",50,10000,10000,0.013243863359093666,0.9033348560333252,0.02513775343677371,0.8165229121241948,0.013310800306499004,0.9028462767601013,0.19292615354061127,-0.40814197063446045,0.19292615354061127,-0.40814197063446045,0.01472867261729732,0.892497395724132,0.01324443332850933,0.9033306837081909,0.008253306986156547,0.9397602202211992,0.014097940176725388,0.8971010446548462,0.03464682530390576,0.7471174730513921,0.012581109111964257,0.9081721734634365,0.029785726032124878,0.7825979840885003,0.029192607532356953,0.7869270763988533,0.004890399053692818,0.9643056392669678,0.05624046549201012,0.5895084142684937,,,,,,,,,,,,
2210,2025-11-18T16:29:02.300600,final_model_with_bardist.pt,361074,1.0,"(16599, 17)",50,10000,10000,0.017494872212409973,0.8742401003837585,0.011100092408593255,0.9202082503294284,0.017908833920955658,0.8712643384933472,0.1977095752954483,-0.42121291160583496,0.1977095752954483,-0.42121291160583496,0.019590439826218976,0.8591763552040408,0.01752176135778427,0.874046802520752,0.011720622953804088,0.915747637200832,0.015255392529070377,0.8903383612632751,0.015036176102989122,0.89191416112144,0.019096064723477083,0.8627301143070557,0.013450262673241332,0.9033143191316263,0.03758923169227382,0.7297940904368436,0.01593916118144989,0.8854231238365173,0.055953431874513626,0.5977851152420044,,,,,,,,,,,,
2210,2025-11-18T16:29:59.515093,final_model_with_bardist.pt,361074,2.0,"(16599, 17)",50,10000,10000,0.022671889513731003,0.8375490307807922,0.029742529389944997,0.7868857239128619,0.022814545780420303,0.8365268707275391,0.19789396226406097,-0.41797029972076416,0.19789396226406097,-0.41797029972076416,0.025691910641710097,0.8159096401681789,0.02266988717019558,0.8375633955001831,0.025343218600284222,0.8184081247796102,0.012324041686952114,0.9116945266723633,0.12299191486883779,0.1187254937804818,0.03006350123202376,0.7845858629672056,0.028897023666519122,0.792944029775589,0.019850473860280077,0.8577653127191524,0.021197952330112457,0.8481101989746094,0.07027314603328705,0.4964715838432312,,,,,,,,,,,,
2210,2025-11-18T16:30:55.768297,final_model_with_bardist.pt,361074,3.0,"(16599, 17)",50,10000,10000,0.012562019750475883,0.909104585647583,0.016794383102712983,0.8784802957297577,0.012642482295632362,0.908522367477417,0.1941947340965271,-0.40514159202575684,0.1941947340965271,-0.40514159202575684,0.01512201617344143,0.890581099518352,0.012560814619064331,0.9091132879257202,0.008467641844607849,0.9387303882179006,0.02001830004155636,0.8551529049873352,0.054539845164808594,0.6053641378288135,0.01783108940709292,0.8709789637217369,0.027602654857656284,0.800274506371472,0.034267883901567577,0.7520466758309928,0.005105694755911827,0.9630565643310547,0.046768877655267715,0.6615928411483765,,,,,,,,,,,,
