Microgreen,Biomass_g,Sowing_Density,X,Y,Bed,Light_Intensity_umols,Bed_Position,Position_in_Bed,Unique_Identifier,Red_Light_Intensity_umols,Blue_Light_Intensity_umols,Far_Red_Light_Intensity_umols,
34,Radish,27.5,45,2,8,B,311,1,Edge,2 8,58.21037037,66.18648148,6.920178571
35,Radish,19,45,3,8,B,335,1,Edge,3 8,58.20716049,66.94555556,6.994642857
36,Radish,25.5,45,4,8,B,345,1,Corner,4 8,58.20777778,61.74851852,6.531964286
225,Sunflower,21,100,5,8,B,361,2,Corner,5 8,58.20111111,69.9712963,7.61625
226,Sunflower,27.5,100,6,8,B,372,2,Edge,6 8,58.2108642,70.78037037,7.885535714
227,Sunflower,19,100,7,8,B,382,2,Edge,7 8,58.19765432,70.60666667,7.831964286
228,Sunflower,25.5,100,8,8,B,381,2,Corner,8 8,58.22333333,62.27203704,6.771785714
161,Kale(Tozer),9,15,9,8,B,373,3,Corner,9 8,58.22777778,70.24055556,7.586607143
162,Kale(Tozer),13.5,15,10,8,B,377,3,Edge,10 8,58.23358025,70.58981481,7.798928571
163,Kale(Tozer),12.5,15,11,8,B,368,3,Edge,11 8,58.22283951,70.27666667,7.774464286
164,Kale(Tozer),10,15,12,8,B,366,3,Corner,12 8,58.23296296,71.47722222,8.257857143
97,Kale(CN),0.5,15,13,8,B,333,4,Corner,13 8,58.23703704,70.91685185,8.424642857
98,Kale(CN),2,15,14,8,B,335,4,Edge,14 8,58.24419753,77.4087037,10.06178571
99,Kale(CN),3,15,15,8,B,338,4,Edge,15 8,58.24506173,76.26111111,9.602857143
100,Kale(CN),2.5,15,16,8,B,304,4,Corner,16 8,58.24333333,69.5112963,7.87875
221,Sunflower,18,100,1,9,C,447,1,Corner,1 9,58.40419753,77.49777778,10.04107143
222,Sunflower,35,100,2,9,C,469,1,Edge,2 9,58.39111111,77.48,10.21839286
223,Sunflower,27.5,100,3,9,C,489,1,Edge,3 9,58.40296296,77.49592593,10.27946429
224,Sunflower,22.5,100,4,9,C,495,1,Corner,4 9,58.39987654,77.49222222,10.37446429
157,Kale(Tozer),12,15,5,9,C,515,2,Corner,5 9,58.38716049,77.47555556,11.20464286
158,Kale(Tozer),11,15,6,9,C,507,2,Edge,6 9,58.39395062,77.48444444,11.08964286
159,Kale(Tozer),9,15,7,9,C,512,2,Edge,7 9,58.40074074,77.49444444,10.65428571
160,Kale(Tozer),7,15,8,9,C,505,2,Corner,8 9,58.4045679,77.49851852,10.25607143
93,Kale(CN),4,15,9,9,C,510,3,Corner,9 9,58.38222222,77.4687037,11.03482143
94,Kale(CN),5,15,10,9,C,507,3,Edge,10 9,58.38345679,77.46962963,11.08625
95,Kale(CN),4,15,11,9,C,501,3,Edge,11 9,58.37876543,77.46388889,10.59571429
96,Kale(CN),3.5,15,12,9,C,489,3,Corner,12 9,58.37888889,77.46462963,10.46892857
29,Radish,18,45,13,9,C,457,4,Corner,13 9,58.36938272,77.45148148,10.72714286
30,Radish,35,45,14,9,C,450,4,Edge,14 9,58.36901235,77.45018519,10.48339286
31,Radish,27.5,45,15,9,C,422,4,Edge,15 9,58.36753086,76.53185185,9.598928571
32,Radish,22.5,45,16,9,C,388,4,Corner,16 9,58.3682716,74.36962963,8.862142857
217,Sunflower,9,100,1,10,C,442,1,Edge,1 10,58.40037037,75.8037037,9.409642857
218,Sunflower,25.5,100,2,10,C,493,1,Centre,2 10,58.40333333,77.49611111,10.81196429
219,Sunflower,16.5,100,3,10,C,522,1,Centre,3 10,58.41037037,77.50666667,11.07857143
220,Sunflower,7,100,4,10,C,536,1,Edge,4 10,58.41037037,77.50648148,10.78232143
153,Kale(Tozer),8,15,5,10,C,548,2,Edge,5 10,58.40506173,77.49907407,11.92517857
154,Kale(Tozer),6.5,15,6,10,C,549,2,Centre,6 10,58.39333333,77.4837037,11.93892857
155,Kale(Tozer),8,15,7,10,C,551,2,Centre,7 10,58.38962963,77.47777778,11.62660714
156,Kale(Tozer),9.5,15,8,10,C,554,2,Edge,8 10,58.40283951,77.49592593,11.69339286
89,Kale(CN),2.5,15,9,10,C,540,3,Edge,9 10,58.37604938,77.46018519,11.85517857
90,Kale(CN),3,15,10,10,C,543,3,Centre,10 10,58.37567901,77.46018519,11.84
91,Kale(CN),3.5,15,11,10,C,541,3,Centre,11 10,58.38592593,77.47444444,11.71892857
92,Kale(CN),2,15,12,10,C,541,3,Edge,12 10,58.38987654,77.47833333,11.33446429
25,Radish,9,45,13,10,C,503,4,Edge,13 10,58.37567901,77.45962963,11.51232143
26,Radish,25.5,45,14,10,C,495,4,Centre,14 10,58.37308642,77.45648148,11.18357143
27,Radish,16.5,45,15,10,C,475,4,Centre,15 10,58.36839506,77.44944444,10.78875
28,Radish,7,45,16,10,C,433,4,Edge,16 10,58.37518519,76.89796296,10.17392857
213,Sunflower,22,100,1,11,C,429,1,Edge,1 11,58.40888889,69.0487037,7.829107143
214,Sunflower,25.5,100,2,11,C,447,1,Centre,2 11,58.39666667,73.12759259,8.877857143
215,Sunflower,23.5,100,3,11,C,472,1,Centre,3 11,58.4037037,76.13407407,9.509285714
216,Sunflower,14.5,100,4,11,C,478,1,Edge,4 11,58.39469136,73.30333333,8.988928571
149,Kale(Tozer),12,15,5,11,C,477,2,Edge,5 11,58.39296296,70.19481481,7.870892857
150,Kale(Tozer),5.5,15,6,11,C,490,2,Centre,6 11,58.38962963,69.65555556,7.779642857
151,Kale(Tozer),7.5,15,7,11,C,499,2,Centre,7 11,58.39469136,77.48574074,10.22375
152,Kale(Tozer),12,15,8,11,C,498,2,Edge,8 11,58.39469136,74.54851852,9.756785714
85,Kale(CN),3.5,15,9,11,C,460,3,Edge,9 11,58.3854321,77.47425926,10.28392857
86,Kale(CN),4.5,15,10,11,C,478,3,Centre,10 11,58.38123457,77.46740741,10.14589286
